WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-003661,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,Mayabunder,Harinagar (Rv),Normal/Others,NA - Installing community drinking water plants,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2024-01-27,Action Pending,198261,Unsanctioned
MPLADS-007033,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,Rangat,Rangat (Rv),Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2024-01-16,Action Pending,287521,Unsanctioned
MPLADS-008483,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,Diglipur,Radha Nagar (Rv),Normal/Others,WS/MP519/2023-2024/79814 - Construction of community centers and community halls,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2024-01-10,Approved by IDA,2404566,Unsanctioned
MPLADS-015465,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.7,,,Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-18,Action Pending,4000000,Unsanctioned
MPLADS-017547,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,PROTHRAPUR,Neil Kendra (RV),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-12,Action Pending,1000000,Unsanctioned
MPLADS-017548,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.8,,,Normal/Others,NA - Installation of multi-gym equipment,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-12,Action Pending,1230000,Unsanctioned
MPLADS-017550,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.7,,,Normal/Others,WS/MP519/2023-2024/60423 - Construction of community centers and community halls,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-12,Approved by IDA,917704,Unsanctioned
MPLADS-017565,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,LITTLE ANDAMAN,Rabindra Nagar (RV),Normal/Others,NA - Construction of stadiums,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-12,Action Pending,1000000,Unsanctioned
MPLADS-017566,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Namunaghar (RV),Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-12,Action Pending,2000000,Unsanctioned
MPLADS-017668,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,LITTLE ANDAMAN,Vivekanandapuram (RV),Normal/Others,NA - Installation of multi-gym equipment,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-12-12,Action Pending,1500000,Unsanctioned
MPLADS-022313,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,RANGAT,Nilambur (RV),Normal/Others,NA - Providing garbage collection and disposal systems,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-28,Action Pending,2156210,Unsanctioned
MPLADS-022365,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,RANGAT,Shivapuram (RV),Normal/Others,NA - Providing garbage collection and disposal systems,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-28,Action Pending,1216325,Unsanctioned
MPLADS-022366,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,RANGAT,Shivapuram (RV),Normal/Others,NA - Providing garbage collection and disposal systems,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-28,Action Pending,1216325,Unsanctioned
MPLADS-022367,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,MAYABUNDER,Pokadera (RV),Normal/Others,NA - Providing garbage collection and disposal systems,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-28,Action Pending,2156210,Unsanctioned
MPLADS-022404,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,RANGAT,Desharatpur (RV),Normal/Others,NA - Providing garbage collection and disposal systems,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-28,Action Pending,1300000,Unsanctioned
MPLADS-023737,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,LITTLE ANDAMAN,Hut Bay (RV),Normal/Others,NA - Purchase of hearse van,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,1500000,Unsanctioned
MPLADS-023738,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.21,,,Normal/Others,NA - Purchase of school vans and buses (Four and three wheelers),DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,3200000,Unsanctioned
MPLADS-023739,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,LITTLE ANDAMAN,Hut Bay (RV),Normal/Others,NA - Installation of multi-gym equipment,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,1000000,Unsanctioned
MPLADS-023747,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.24,,,Normal/Others,NA - Construction of buildings for crèches and anganwadies,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,3000000,Unsanctioned
MPLADS-023755,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Ferrargunj (RV),Normal/Others,WS/MP519/2023-2024/51837 - Purchase of hearse van,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Approved by IDA,2050000,Unsanctioned
MPLADS-023756,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.20,,,Normal/Others,NA - Development of playground,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,1500000,Unsanctioned
MPLADS-023758,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.9,,,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,2000000,Unsanctioned
MPLADS-023766,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,DIGLIPUR,Radha Nagar (RV),Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-22,Action Pending,1600000,Unsanctioned
MPLADS-023767,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,MAYABUNDER,Swadesh Nagar (RV),Normal/Others,WS/MP519/2023-2024/51895 - Installing community drinking water plants,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-22,Approved by IDA,196599,Unsanctioned
MPLADS-023768,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,RANGAT,Kaushalyanagar (RV),Normal/Others,WS/MP519/2023-2024/51894 - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-22,Approved by IDA,122661,Unsanctioned
MPLADS-023769,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.1,,,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,1600000,Unsanctioned
MPLADS-023770,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.12,,,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,3000000,Unsanctioned
MPLADS-023771,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Mathura (RV),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,1000000,Unsanctioned
MPLADS-023772,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Jirkatang No. 2 (RV),Normal/Others,NA - Development of playfields and sports grounds,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,600000,Unsanctioned
MPLADS-023773,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Caddlegunj (RV) (incl. Sona Pahar & Hazari Bagh (JPPC),Normal/Others,NA - Development of playfields and sports grounds,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,800000,Unsanctioned
MPLADS-023774,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.8,,,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,2500000,Unsanctioned
MPLADS-023775,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Bambooflat-I,Normal/Others,NA - Installing community drinking water plants,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,250000,Unsanctioned
MPLADS-023816,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,FERRARGUNJ,Mithakhari (RV),Normal/Others,NA - Development of playfields and sports grounds,DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-22,Action Pending,3000000,Unsanctioned
MPLADS-024419,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,,,DIGLIPUR,Nilambur (RV),Normal/Others,NA - Purchase of hearse van,DEPUTY COMMISSIONER NORTH AND MIDDLE ANDAMANS_IDA,2023-11-21,Action Pending,4500000,Unsanctioned
MPLADS-024425,Kuldeep Rai Sharma,Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Port Blair,Ward No.23,,,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER SOUTH ANDAMANS_IDA,2023-11-21,Action Pending,4000000,Unsanctioned
