WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000019,Pradyut Bordoloi,Lok Sabha,Assam,NOWGONG,,,Nagaon,Town Nagaon,Normal/Others,NA - Setting up public non-conventional energy plants,DEPUTY COMMISSIONER NOWGONG_IDA,2024-03-04,Action Pending,500000,Unsanctioned
MPLADS-000020,Pradyut Bordoloi,Lok Sabha,Assam,NOWGONG,,,Nagaon,Majarati,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER NOWGONG_IDA,2024-03-04,Action Pending,300000,Unsanctioned
MPLADS-000021,Pradyut Bordoloi,Lok Sabha,Assam,NOWGONG,,,Nagaon,Town Nagaon,Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER NOWGONG_IDA,2024-03-04,Action Pending,500000,Unsanctioned
MPLADS-000022,Pradyut Bordoloi,Lok Sabha,Assam,NOWGONG,,,Nagaon,Barbheti,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER NOWGONG_IDA,2024-03-04,Action Pending,300000,Unsanctioned
MPLADS-000038,Shri Abdul Khaleque ,Lok Sabha,Assam,BARPETA,,,Barpeta,Hajipara,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BARPETA_IDA,2024-03-03,Action Pending,300000,Unsanctioned
MPLADS-000039,Shri Abdul Khaleque ,Lok Sabha,Assam,BARPETA,,,Kalgachia,Pachim Moinbari,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BARPETA_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000307,Shri Abdul Khaleque ,Lok Sabha,Assam,BARPETA,,,Bongaigaon (Pt),Nankargaon,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Bongaigaon_IDA,2024-03-02,Action Pending,400000,Unsanctioned
MPLADS-000822,Shri Abdul Khaleque ,Lok Sabha,Assam,BARPETA,,,Barpeta,Sundaridia,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BARPETA_IDA,2024-02-25,Action Pending,1000000,Unsanctioned
MPLADS-000998,Pradyut Bordoloi,Lok Sabha,Assam,NOWGONG,,,Nagaon,Jalah Gaon,Normal/Others,NA - Construction of buildings for community cultural activities,DEPUTY COMMISSIONER NOWGONG_IDA,2024-02-24,Action Pending,250000,Unsanctioned
MPLADS-001024,Gaurav Gogoi,Lok Sabha,Assam,KALIABOR,,,Samaguri,Bajia Gaon,Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER NOWGONG_IDA,2024-02-23,Action Pending,100000,Unsanctioned
