WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000002,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Jagdishpur,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000004,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Chandaur,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000005,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Kotma,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000006,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Lehara,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000007,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Belaur,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000008,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Raghopur,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000009,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Raghopur,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000010,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Barhampura,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000011,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Tatuar,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
MPLADS-000012,Mr Gopal Jee Thakur,Lok Sabha,Bihar,DARBHANGA,,,Manigachhi,Raghopur,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DARBANGA_IDA,2024-03-04,Action Pending,487000,Unsanctioned
