WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000338,Sunil Kumar Soni,Lok Sabha,Chhattisgarh,RAIPUR,Raipur,Rajeev Gandhi Ward,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR RAIPUR_IDA,2024-03-02,Action Pending,500000,Unsanctioned
MPLADS-000896,Km Saroj Pandey,Rajya Sabha,Chhattisgarh,Sitting Rajya Sabha,Bhilai,Kurud Ward,,,Normal/Others,NA - Installation of fixed garden gym equipment,DISTRICT COLLECTOR DURG_IDA,2024-02-25,Action Pending,1201000,Unsanctioned
MPLADS-000897,Km Saroj Pandey,Rajya Sabha,Chhattisgarh,Sitting Rajya Sabha,Durg,Potiyakala Dakshin,,,Normal/Others,NA - Construction of New Building,DISTRICT COLLECTOR DURG_IDA,2024-02-25,Action Pending,500000,Unsanctioned
MPLADS-000898,Km Saroj Pandey,Rajya Sabha,Chhattisgarh,Sitting Rajya Sabha,Durg,Borsi Pashchim,,,Normal/Others,NA - Construction of road under bridge,DISTRICT COLLECTOR DURG_IDA,2024-02-25,Action Pending,1879000,Unsanctioned
MPLADS-001182,Santosh Pandey,Lok Sabha,Chhattisgarh,RAJNANDGAON,Rajnandgaon,Basantpur Ward,,,Normal/Others,"WS/MP513/2023-2024/110283 - Purchase of IT systems, including hardware and software for educational purposes",DISTRICT COLLECTOR RAJNANDGAON_IDA,2024-02-20,Approved by IDA,498000,
MPLADS-001648,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),,,Baloda,Pantora,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR JANJGIR CHAMPA_IDA,2024-02-16,Action Pending,500000,Unsanctioned
MPLADS-001649,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),Kharod,Santoshi Mata Ward,,,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR JANJGIR CHAMPA_IDA,2024-02-16,Action Pending,1000000,Unsanctioned
MPLADS-002720,Deepak Baij,Lok Sabha,Chhattisgarh,BASTAR(ST),,,Dantewada,Kuper,Normal/Others,NA - Construction of culverts and bridges,Collector Dantewada_IDA,2024-02-07,Action Pending,500000,Unsanctioned
MPLADS-003436,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),,,Sakti,Sakreli Kalan,Normal/Others,NA - Installing tube-wells and borewells,COLLECTOR SAKTI_IDA,2024-01-30,Action Pending,285000,Unsanctioned
MPLADS-003439,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),,,Sakti,Tendutoha,Normal/Others,NA - Installing tube-wells and borewells,COLLECTOR SAKTI_IDA,2024-01-30,Action Pending,285000,Unsanctioned
MPLADS-003440,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),,,Sakti,Asonda,Normal/Others,NA - Installing tube-wells and borewells,COLLECTOR SAKTI_IDA,2024-01-30,Action Pending,285000,Unsanctioned
MPLADS-003441,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),,,Baradwar,Khutadahra,Normal/Others,NA - Installing tube-wells and borewells,COLLECTOR SAKTI_IDA,2024-01-30,Action Pending,285000,Unsanctioned
MPLADS-003442,Guharam Ajgalley,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA(SC),,,Jaijaipur,Guchkuliya,Normal/Others,NA - Installing tube-wells and borewells,COLLECTOR SAKTI_IDA,2024-01-30,Action Pending,300000,Unsanctioned
MPLADS-003568,Deepak Baij,Lok Sabha,Chhattisgarh,BASTAR(ST),,,Tongpal,Kukanar,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Collector Sukma_IDA,2024-01-28,Action Pending,600000,Unsanctioned
MPLADS-003570,Deepak Baij,Lok Sabha,Chhattisgarh,BASTAR(ST),,,Tongpal,Kukanar,Normal/Others,NA - Construction of culverts and bridges,Collector Sukma_IDA,2024-01-28,Action Pending,600000,Unsanctioned
MPLADS-003571,Deepak Baij,Lok Sabha,Chhattisgarh,BASTAR(ST),,,Tongpal,Kukanar,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Collector Sukma_IDA,2024-01-28,Action Pending,600000,Unsanctioned
MPLADS-003572,Deepak Baij,Lok Sabha,Chhattisgarh,BASTAR(ST),,,Tongpal,Kukanar,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Collector Sukma_IDA,2024-01-28,Action Pending,600000,Unsanctioned
MPLADS-003573,Deepak Baij,Lok Sabha,Chhattisgarh,BASTAR(ST),,,Tongpal,Kukanar,Normal/Others,NA - Providing drains and gutters for public drainage,Collector Sukma_IDA,2024-01-28,Action Pending,357000,Unsanctioned
