WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000543,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Kolayat,Diyatara,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BIKANER_IDA,2024-02-27,Action Pending,800000,Unsanctioned
MPLADS-000544,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Bajju,Phulasar Chhota,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BIKANER_IDA,2024-02-27,Action Pending,800000,Unsanctioned
MPLADS-000545,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Khajuwala,34 Kyd,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BIKANER_IDA,2024-02-27,Action Pending,1000000,Unsanctioned
MPLADS-000546,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Lunkaransar,Kakadwala,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,1000000,Unsanctioned
MPLADS-000547,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,Bikaner,Bikaner (M Ci) - Ward No.60,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,900000,Unsanctioned
MPLADS-000548,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,Nokha,Nokha (M) - Ward No.29,,,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,800000,Unsanctioned
MPLADS-000549,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Kolayat,Hirai Ki Dhani,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,700000,Unsanctioned
MPLADS-000551,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Bikaner,Napasar,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,3000000,Unsanctioned
MPLADS-000553,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,Bikaner,Bikaner (M Ci) - Ward No.59,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,1000000,Unsanctioned
MPLADS-000555,Mahesh Jethmalani (Nominated Rajya Sabha),Rajya Sabha,Delhi,Nominated Rajya Sabha,,,Nokha,Raisar,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR BIKANER_IDA,2024-02-26,Action Pending,800000,Unsanctioned
