WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-005707,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,Mormugao,Chicalim (Ct),Normal/Others,NA - Development of playground,DISTRICT COLLECTOR SOUTH GOA_IDA,2024-01-21,Action Pending,1500000,Unsanctioned
MPLADS-008707,Sadanand Shet Tanavade (Rajya Sabha),Rajya Sabha,Goa,Sitting Rajya Sabha,,,Bardez,Pirna,Normal/Others,NA - Development of playground,DISTRICT COLLECTOR NORTH GOA_IDA,2024-01-09,Action Pending,7000000,Unsanctioned
MPLADS-021235,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Navelim (CT),Normal/Others,"WS/MP430/2023-2024/55531 - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-12-02,Approved by IDA,150000,Sanctioned
MPLADS-027520,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,Curchorem Cacora,1.0,,,Normal/Others,"WS/MP430/2023-2024/45726 - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-11-05,Approved by IDA,150000,Completed
MPLADS-027521,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,MORMUGAO,Dabolim,Normal/Others,"NA - Purchase of IT systems, including hardware and software for educational purposes",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-11-05,Action Pending,2300000,Unsanctioned
MPLADS-030746,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Navelim (CT),Normal/Others,"NA - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-25,Action Pending,150000,Unsanctioned
MPLADS-030747,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Guirdolim,Normal/Others,NA - Providing CCTV camera system for security of public areas,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-25,Action Pending,968373,Unsanctioned
MPLADS-031246,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Curtorim (CT),Normal/Others,"NA - Purchase of IT systems, including hardware and software for educational purposes",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-22,Action Pending,600000,Unsanctioned
MPLADS-031267,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Curtorim (CT),Normal/Others,"WS/MP430/2023-2024/39608 - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-22,Approved by IDA,150000,Completed
MPLADS-031268,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Camurlim,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-22,Action Pending,2500000,Unsanctioned
MPLADS-031269,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Guirdolim,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-22,Action Pending,300000,Unsanctioned
MPLADS-031304,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Orlim,Normal/Others,"NA - Purchase of IT systems, including hardware and software for educational purposes",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-22,Action Pending,1800000,Unsanctioned
MPLADS-033179,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Seraulim,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-15,Action Pending,600000,Unsanctioned
MPLADS-033807,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,Curchorem Cacora,1.0,,,Normal/Others,"NA - Purchase of smart boards, visual display units and projectors",DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-12,Action Pending,1100000,Unsanctioned
MPLADS-034324,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,PONDA,Candepar,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,3500000,Unsanctioned
MPLADS-034326,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Nuvem (CT),Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,300000,Unsanctioned
MPLADS-034327,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Assolna,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,1500000,Unsanctioned
MPLADS-034328,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Assolna,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,800000,Unsanctioned
MPLADS-034329,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Davorlim (CT),Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,300000,Unsanctioned
MPLADS-034330,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,SALCETE,Davorlim (CT),Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,1500000,Unsanctioned
MPLADS-034331,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,Cuncolim,1.0,,,Normal/Others,WS/MP430/2023-2024/35960 - Purchase of hearse van,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Approved by IDA,1500000,Unsanctioned
MPLADS-034332,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,Cuncolim,1.0,,,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,2000000,Unsanctioned
MPLADS-034333,Francisco Cosme Sardinha,Lok Sabha,Goa,SOUTH GOA,,,QUEPEM,Bali,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR SOUTH GOA_IDA,2023-10-11,Action Pending,300000,Unsanctioned
