WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000396,Sonal Mansingh (NRS),Rajya Sabha,Gujarat,Nominated Rajya Sabha,,,Siwan,Sarsar,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT PLANNING OFFICER SIWAN_IDA,2024-03-01,Action Pending,1000000,Unsanctioned
MPLADS-000404,Prabhubhai Nagarbhai Vasava,Lok Sabha,Gujarat,BARDOLI(ST),Vyara,Vyara (M) - Ward No.1,,,Normal/Others,NA - Fitting of Sitting RCC Benches in Public Places,District collector Tapi_IDA,2024-03-01,Action Pending,450000,Unsanctioned
MPLADS-000405,Prabhubhai Nagarbhai Vasava,Lok Sabha,Gujarat,BARDOLI(ST),Songadh,Songadh (M) - Ward No.1,,,Normal/Others,NA - Fitting of Sitting RCC Benches in Public Places,District collector Tapi_IDA,2024-03-01,Action Pending,450000,Unsanctioned
MPLADS-000477,SHRI Shaktisinh Gohil,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Talaja,Trapaj,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR BHAVNAGAR_IDA,2024-02-28,Action Pending,500000,Unsanctioned
MPLADS-000666,Smt Poonamben Hematbhai Maadam,Lok Sabha,Gujarat,JAMNAGAR,Jamnagar,Jamnagar (M Corp.) - Ward No.2,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR JAMNAGAR_IDA,2024-02-25,Action Pending,400000,Unsanctioned
MPLADS-000743,SHRI Naranbhai J Rathwa,Rajya Sabha,Gujarat,Sitting Rajya Sabha,Patan,Patan (M) - Ward No.4,,,Trust and Society,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR PATAN_IDA,2024-02-25,Action Pending,450000,Unsanctioned
MPLADS-000899,SHRI Naranbhai J Rathwa,Rajya Sabha,Gujarat,Sitting Rajya Sabha,Patan,Patan (M) - Ward No.4,,,Trust and Society,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR PATAN_IDA,2024-02-25,Action Pending,450000,Unsanctioned
MPLADS-000995,SHRI Amin Narhari,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Palitana,Kumbhan,Trust and Society,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR BHAVNAGAR_IDA,2024-02-24,Action Pending,1000000,Unsanctioned
MPLADS-001640,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Dhari,Morzar,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-16,Action Pending,300000,Unsanctioned
MPLADS-001712,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Chital,Normal/Others,NA - Installation of fixed garden gym equipment,DISTRICT COLLECTOR AMRELI_IDA,2024-02-15,Action Pending,300000,Unsanctioned
MPLADS-001748,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Vinchchiya,Modhuka,Normal/Others,NA - Construction of night shelters for homeless,DISTRICT COLLECTOR RAJKOT_IDA,2024-02-14,Action Pending,300000,Unsanctioned
MPLADS-001919,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Chital,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR AMRELI_IDA,2024-02-12,Action Pending,600000,Unsanctioned
MPLADS-001973,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Lilia,Kankot Mota,Normal/Others,NA - Construction of water tanks,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001974,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Machiyala Mota,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001975,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Machiyala Mota,Normal/Others,NA - Construction of bus-sheds or bus-stops,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001976,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Ankadiya Mota,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,400000,Unsanctioned
MPLADS-001977,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Shedubhar,Normal/Others,NA - Creation of new ponds,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001978,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Shedubhar,Normal/Others,NA - Creation of new ponds,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001980,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Dahida,Normal/Others,NA - Construction of public libraries and reading rooms,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001987,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Dahida,Normal/Others,NA - Construction of public libraries and reading rooms,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001988,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Randhiya,Normal/Others,NA - Construction of public libraries and reading rooms,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-001998,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Randhiya,Normal/Others,NA - Construction of public libraries and reading rooms,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-002004,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Kunkavav Vadia,Bambhaniya,Normal/Others,NA - Construction of public libraries and reading rooms,DISTRICT COLLECTOR AMRELI_IDA,2024-02-11,Action Pending,1000000,Unsanctioned
MPLADS-002074,Shri Mohanbhai Kalyanji Kundariya ,Lok Sabha,Gujarat,RAJKOT,Jasdan,Jasdan (M) - Ward No.3,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR RAJKOT_IDA,2024-02-11,Action Pending,500000,Unsanctioned
MPLADS-002334,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Kamrej,Kholvad,Trust and Society,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR SURAT_IDA,2024-02-09,Action Pending,1500000,Unsanctioned
MPLADS-002673,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Khambha,Ingorala,Trust and Society,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR AMRELI_IDA,2024-02-08,Action Pending,500000,Unsanctioned
MPLADS-003156,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Bhandariya Nana,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003157,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Gokharvala Mota,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003158,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Machiyala Mota,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003159,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Rajasthali,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003160,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Rikadiya,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003161,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Lalavadar,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003162,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Varasda,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003163,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Varasda,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003164,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Vithalpur,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003165,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Bhandariya Nana,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003166,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Vithalpur,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
MPLADS-003167,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Gokharvala Nana,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,400000,Unsanctioned
MPLADS-003169,SHRI Parshottam Rupala,Rajya Sabha,Gujarat,Sitting Rajya Sabha,,,Amreli,Medi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR AMRELI_IDA,2024-02-04,Action Pending,500000,Unsanctioned
