WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000681,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Narwana,Dablain (76),Normal/Others,NA - Purchase of mobile water tankers,Deputy Commissioner Jind_IDA,2024-02-25,Action Pending,155000,Unsanctioned
MPLADS-000682,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Adampur,Mothsara(221),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-25,Action Pending,155000,Unsanctioned
MPLADS-001210,Shri Dharambir Singh ,Lok Sabha,Haryana,BHIWANI MAHENDRAGARH,,,Dadri,Jhojhu Kalan(71),Normal/Others,NA - Purchase of mobile sanitation equipment,Deputy Commissioner Charkhi Dadri_IDA,2024-02-19,Action Pending,400000,Unsanctioned
MPLADS-001211,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Ambala,Laotan (291),Trust and Society,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER AMBALA_IDA,2024-02-19,Action Pending,250000,Unsanctioned
MPLADS-001212,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Hansi,Jamawari(122),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-19,Action Pending,155000,Unsanctioned
MPLADS-001213,SHRI Deepender Singh,Rajya Sabha,Haryana,Sitting Rajya Sabha,Faridabad,Faridabad (M Corp.) - Ward No.15,,,Normal/Others,NA - Development of public parks,DEPUTY COMMISSIONER FARIDABAD_IDA,2024-02-19,Action Pending,1500000,Unsanctioned
MPLADS-001412,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Hisar,Agroha(54),Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-18,Action Pending,4500000,Unsanctioned
MPLADS-001413,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Rohtak,Pahrawar(69),Normal/Others,NA - Installation of fixed garden gym equipment,DEPUTY COMMISSIONER ROHTAK_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001414,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Rohtak,Pahrawar(69),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER ROHTAK_IDA,2024-02-18,Action Pending,155000,Unsanctioned
MPLADS-001415,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Gohana,Chhichhrana (88),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER SONEPAT_IDA,2024-02-18,Action Pending,155000,Unsanctioned
MPLADS-001416,SHRI Devender Paul Vats,Rajya Sabha,Haryana,Sitting Rajya Sabha,,,Bhiwani,Asalwas Dubia (54),Normal/Others,NA - Purchase of mobile water tankers,Deputy Commissioner Bhiwani_IDA,2024-02-18,Action Pending,155000,Unsanctioned
MPLADS-001696,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Barwala,Barwala (Rural)(128),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,158000,Unsanctioned
MPLADS-001701,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Bass,Sisar(100),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
MPLADS-001702,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Adampur,Mahalsara(40),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
MPLADS-001703,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Adampur,Khasa Mahajanan(96),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
MPLADS-001704,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Balsamand St,Bhiwani Ruhelan(50),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
MPLADS-001705,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Hisar,Hari Kot(220),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,158000,Unsanctioned
MPLADS-001706,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Kheri Jalab St,Sarsana(21),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
MPLADS-001707,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Hansi,Kulana(114),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
MPLADS-001708,Brijendra Singh,Lok Sabha,Haryana,HISAR,,,Kheri Jalab St,Nara (4),Normal/Others,NA - Purchase of mobile water tankers,DEPUTY COMMISSIONER HISSAR_IDA,2024-02-15,Action Pending,155000,Unsanctioned
