WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000111,Dr Sikander Kumar,Rajya Sabha,Himachal Pradesh,Sitting Rajya Sabha,,,Nadaun,Dhaneta (17/7),Normal/Others,NA - Lighting of public spaces,DEPUTY COMMISSIONER HAMIRPUR_IDA,2024-03-03,Action Pending,16300,Unsanctioned
MPLADS-000261,Dr Sikander Kumar,Rajya Sabha,Himachal Pradesh,Sitting Rajya Sabha,,,Kangoo,Malag (26/20),Normal/Others,NA - Lighting of public spaces,DEPUTY COMMISSIONER HAMIRPUR_IDA,2024-03-03,Action Pending,32600,Unsanctioned
MPLADS-000301,Dr Sikander Kumar,Rajya Sabha,Himachal Pradesh,Sitting Rajya Sabha,,,Nadaun,Badhera (17/14),Normal/Others,NA - Lighting of public spaces,DEPUTY COMMISSIONER HAMIRPUR_IDA,2024-03-03,Action Pending,57050,Unsanctioned
MPLADS-000592,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Ghumarwin,Sandyar (234),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BILASPUR_IDA,2024-02-25,Action Pending,100000,Unsanctioned
MPLADS-000593,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Amb,Sunhi (73),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIOENR UNA_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000594,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Bharwain,Bhatehr Khas (13/1),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIOENR UNA_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000595,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Una,Basal (194),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIOENR UNA_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000596,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Birhu Kalan,Hatli (8/33),Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIOENR UNA_IDA,2024-02-25,Action Pending,300000,Unsanctioned
MPLADS-000597,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Sarkaghat,Sain (285),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER MANDI_IDA,2024-02-25,Action Pending,150000,Unsanctioned
MPLADS-000598,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Sarkaghat,Gadhyani (277),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER MANDI_IDA,2024-02-25,Action Pending,100000,Unsanctioned
MPLADS-000599,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Dharmpur,Dhwali (93),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER MANDI_IDA,2024-02-25,Action Pending,20000,Unsanctioned
MPLADS-000600,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Sarkaghat,Langehar (379),Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER MANDI_IDA,2024-02-25,Action Pending,150000,Unsanctioned
MPLADS-000680,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Tauni Devi Bamson,Lag (62/19),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER HAMIRPUR_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000692,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Ghumarwin,Sandyar (234),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BILASPUR_IDA,2024-02-25,Action Pending,100000,Unsanctioned
MPLADS-001174,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR_HP,,,Ispur,Panjawar (179),Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIOENR UNA_IDA,2024-02-21,Action Pending,200000,Unsanctioned
MPLADS-001181,SHRI Jagat Prakash Nadda,Rajya Sabha,Himachal Pradesh,Sitting Rajya Sabha,,,Gagret,Gagret (140),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIOENR UNA_IDA,2024-02-20,Action Pending,600000,Unsanctioned
MPLADS-001183,SHRI Jagat Prakash Nadda,Rajya Sabha,Himachal Pradesh,Sitting Rajya Sabha,,,Gagret,Gagret (140),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIOENR UNA_IDA,2024-02-20,Action Pending,400000,Unsanctioned
