WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000205,Mohammad Akbar Lone,Lok Sabha,Jammu And Kashmir,BARAMULLAH,,,Sonawari,Hilalabad,Normal/Others,NA - Installing tube-wells and borewells,Deputy Commissioner Bandipora_IDA,2024-03-03,Action Pending,275000,Unsanctioned
MPLADS-000206,Mohammad Akbar Lone,Lok Sabha,Jammu And Kashmir,BARAMULLAH,,,Hajin,Gund I Prang,Normal/Others,NA - Street lights,Deputy Commissioner Bandipora_IDA,2024-03-03,Action Pending,100000,Unsanctioned
MPLADS-000207,Mohammad Akbar Lone,Lok Sabha,Jammu And Kashmir,BARAMULLAH,,,Hajin,Naidkhai,Normal/Others,NA - Street lights,Deputy Commissioner Bandipora_IDA,2024-03-03,Action Pending,100000,Unsanctioned
MPLADS-000445,Hasnain Masoodi,Lok Sabha,Jammu And Kashmir,ANANTNAG,,,Pulwama,Bander Pora,Normal/Others,NA - Installing tube-wells and borewells,Deputy Commissioner Pulwama_IDA,2024-02-29,Action Pending,200000,Unsanctioned
MPLADS-001093,Mohammad Akbar Lone,Lok Sabha,Jammu And Kashmir,BARAMULLAH,,,Sonawari,Nowgam,Normal/Others,NA - Installing tube-wells and borewells,Deputy Commissioner Bandipora_IDA,2024-02-22,Action Pending,139000,Unsanctioned
MPLADS-001608,Shri Jugal Kishore Sharma ,Lok Sabha,Jammu And Kashmir,JAMMU,,,Nagrota,Jagti,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER JAMMU_IDA,2024-02-17,Action Pending,1400000,Unsanctioned
MPLADS-001861,Jitendra Singh,Lok Sabha,Jammu And Kashmir,UDHAMPUR,,,Billawar,Mandli,Normal/Others,NA - Construction of toilet blocks,DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA,2024-02-12,Action Pending,1000000,Unsanctioned
MPLADS-002622,Jitendra Singh,Lok Sabha,Jammu And Kashmir,UDHAMPUR,,,Ramban,Sawani,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Ramban_IDA,2024-02-09,Action Pending,200000,Unsanctioned
MPLADS-002623,Jitendra Singh,Lok Sabha,Jammu And Kashmir,UDHAMPUR,,,Rajgarh,Rajgarh,Normal/Others,NA - Construction of Footpaths/Pedestrian ways,Deputy Commissioner Ramban_IDA,2024-02-09,Action Pending,200000,Unsanctioned
MPLADS-002624,Jitendra Singh,Lok Sabha,Jammu And Kashmir,UDHAMPUR,,,Ramban,Neera,Normal/Others,NA - Construction of Footpaths/Pedestrian ways,Deputy Commissioner Ramban_IDA,2024-02-09,Action Pending,200000,Unsanctioned
MPLADS-002625,Jitendra Singh,Lok Sabha,Jammu And Kashmir,UDHAMPUR,,,Kishtwar,Kishtwar,Normal/Others,NA - Construction of rooms and halls in school and colleges,Deputy Commissioner Kishtwar_IDA,2024-02-09,Action Pending,1606000,Unsanctioned
MPLADS-002626,Jitendra Singh,Lok Sabha,Jammu And Kashmir,UDHAMPUR,Municipal Council Kishtwar,Kishtwar (MC) - Ward No.2,,,Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Kishtwar_IDA,2024-02-09,Action Pending,2500000,Unsanctioned
MPLADS-002627,Hasnain Masoodi,Lok Sabha,Jammu And Kashmir,ANANTNAG,,,Pulwama,Pinglena,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Pulwama_IDA,2024-02-09,Action Pending,168290,Unsanctioned
