WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000107,SH Dhiraj Prasad Sahu,Rajya Sabha,Jharkhand,Sitting Rajya Sabha,,,Lohardaga,Nigni,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER LOHARDAGA_IDA,2024-03-03,Action Pending,600000,Unsanctioned
MPLADS-000108,SH Dhiraj Prasad Sahu,Rajya Sabha,Jharkhand,Sitting Rajya Sabha,,,Ghaghra,Adar,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER GUMLA_IDA,2024-03-03,Action Pending,750000,Unsanctioned
MPLADS-000109,SH Dhiraj Prasad Sahu,Rajya Sabha,Jharkhand,Sitting Rajya Sabha,,,Ghaghra,Adar,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER GUMLA_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000110,SH Dhiraj Prasad Sahu,Rajya Sabha,Jharkhand,Sitting Rajya Sabha,,,Ghaghra,Adar,Normal/Others,NA - Construction of buildings for community cultural activities,DEPUTY COMMISSIONER GUMLA_IDA,2024-03-03,Action Pending,600000,Unsanctioned
MPLADS-000478,SHRI Deepak Prakash,Rajya Sabha,Jharkhand,Sitting Rajya Sabha,Ranchi,Ranchi (M Corp.) - Ward No.34,,,Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER RANCHI_IDA,2024-02-28,Action Pending,1450000,Unsanctioned
MPLADS-000609,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Amrapara,Dumarchir,Normal/Others,NA - construction of staircase/ stair ghat for public convenience,Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,201000,Unsanctioned
MPLADS-000610,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Amrapara,Malipara Paharia,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,201000,Unsanctioned
MPLADS-000611,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Amrapara,Asankura,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,250000,Unsanctioned
MPLADS-000612,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Amrapara,Amirjola,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,201000,Unsanctioned
MPLADS-000613,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Amrapara,Bara Salghati,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,201000,Unsanctioned
MPLADS-000614,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Pakuria,Bara Singpur,Normal/Others,NA - Construction of public irrigation facilities,Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,201000,Unsanctioned
MPLADS-000615,Vijay Kumar Hansdak,Lok Sabha,Jharkhand,RAJMAHAL(ST),,,Pakuria,Solla,Normal/Others,NA - construction of staircase/ stair ghat for public convenience,Deputy Commissioner Pakur_IDA,2024-02-25,Action Pending,201000,Unsanctioned
