WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000037,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Haveri,Venkatapur,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000061,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Haveri,Devagiri,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000067,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Haveri,Karjagi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,150000,Unsanctioned
MPLADS-000069,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Savanur,Hiremugadur,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000070,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,Hirekerur,Hirekerur (TP) - Ward No.7,,,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,200000,Unsanctioned
MPLADS-000072,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,Haveri,Haveri (Cmc) - Ward No.1,,,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000074,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Haveri,Devagiri Yellapur,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000075,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Haveri,Devagiri,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000081,Shivkumar Chanabasappa Udasi,Lok Sabha,Karnataka,HAVERI,,,Haveri,Kallihal,Normal/Others,NA - Construction of rooms and halls in school and colleges,DEPUTY COMMISSIONER HAVERI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000106,SHRI Rajeev Chandrashekhar,Rajya Sabha,Karnataka,Sitting Rajya Sabha,,,Anekal,Indlawadi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BANGALORE URBAN_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000112,SHRI Rajeev Chandrashekhar,Rajya Sabha,Karnataka,Sitting Rajya Sabha,,,Anekal,Karpur,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BANGALORE URBAN_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000113,SHRI Rajeev Chandrashekhar,Rajya Sabha,Karnataka,Sitting Rajya Sabha,,,Anekal,Indlawadi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER BANGALORE URBAN_IDA,2024-03-03,Action Pending,500000,Unsanctioned
