WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000552,Smt PT Usha (NRS),Rajya Sabha,Kerala,Nominated Rajya Sabha,,,Adoor,Thumpamon,Normal/Others,NA - Construction of buildings for crèches and anganwadies,DISTRICT COLLECTOR PATHANAMTHITTA_IDA,2024-02-26,Action Pending,1800000,Unsanctioned
MPLADS-003231,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,,,Normal/Others,WS/MP346/2023-2024/95071 - Construction of bus-sheds or bus-stops,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-02-03,Approved by IDA,384622,
MPLADS-003359,Anto Antony,Lok Sabha,Kerala,PATHANAMTHITTA,,,,,Normal/Others,WS/MP632/2023-2024/93883 - Construction of bus-sheds or bus-stops,DISTRICT COLLECTOR PATHANAMTHITTA_IDA,2024-02-02,Approved by IDA,985166,
MPLADS-003980,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Kadakkavoor,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-003986,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Pazhayakunnummel,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-003988,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Pazhayakunnummel,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-004000,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Pazhayakunnummel,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-004002,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Kilimanoor,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-004003,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Kilimanoor,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-004004,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Kilimanoor,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-004005,Adv Adoor Prakash ,Lok Sabha,Kerala,ATTINGAL,,,Chirayinkeezhu,Kilimanoor,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA,2024-01-25,Action Pending,255470,Unsanctioned
MPLADS-004006,Rahul Gandhi ,Lok Sabha,Kerala,WAYANAD,,,Vythiri,Kaniambetta,Normal/Others,NA - Purchase of school vans and buses (Four and three wheelers),DISTRICT COLLECTOR WAYANAD_IDA,2024-01-25,Action Pending,2000000,Unsanctioned
MPLADS-004007,Rahul Gandhi ,Lok Sabha,Kerala,WAYANAD,,,Vythiri,Muppainad,Normal/Others,NA - Purchase of school vans and buses (Four and three wheelers),DISTRICT COLLECTOR WAYANAD_IDA,2024-01-25,Action Pending,2500000,Unsanctioned
