WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-040967,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Amini,Amini (Ct),Normal/Others,"NA - Purchase of IT systems, including hardware and software for educational purposes",COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-25,Action Pending,1140000,Unsanctioned
MPLADS-040968,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Minicoy,Minicoy (CT),Normal/Others,NA - Lighting of public spaces,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-25,Action Pending,1004103,Unsanctioned
MPLADS-040969,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Minicoy,Minicoy (CT),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-25,Action Pending,750000,Unsanctioned
MPLADS-040970,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-25,Action Pending,69900,Unsanctioned
MPLADS-040971,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-25,Action Pending,2780000,Unsanctioned
MPLADS-043048,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kalpeni,Kalpeni (Ct),Normal/Others,NA - Construction of community centers and community halls,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-18,Action Pending,3271600,Unsanctioned
MPLADS-043075,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kadmat,Kadmat (Ct),Repair and Renovation,"NA - Construction of roads, approach roads, link roads and pathways",COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-18,Action Pending,2270688,Unsanctioned
MPLADS-043077,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Amini,Amini (Ct),Normal/Others,NA - Construction of community centers and community halls,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-18,Action Pending,4509950,Unsanctioned
MPLADS-045847,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,"NA - Purchase of IT systems, including hardware and software for educational purposes",COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-12,Action Pending,7999986,Unsanctioned
MPLADS-045912,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-12,Action Pending,10430000,Unsanctioned
MPLADS-046646,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kalpeni,Kalpeni (Ct),Normal/Others,NA - Improvement of electricity distribution infrastructure,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,646640,Unsanctioned
MPLADS-046660,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kiltan,Kiltan,Normal/Others,NA - Laying of synthetic turfs for hockey and football,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,10791995,Unsanctioned
MPLADS-046661,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Agatti,Agatti,Normal/Others,NA - Lighting of public spaces,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,4252761,Unsanctioned
MPLADS-046671,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,260000,Unsanctioned
MPLADS-046672,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,"NA - Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,2500000,Unsanctioned
MPLADS-046673,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,200000,Unsanctioned
MPLADS-046674,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Andrott,Andrott (Ct),Normal/Others,NA - Installation of multi-gym equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,2458500,Unsanctioned
MPLADS-046675,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Andrott,Andrott (Ct),Normal/Others,NA - Improvement of electricity distribution infrastructure,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,28202000,Unsanctioned
MPLADS-046687,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,900000,Unsanctioned
MPLADS-046688,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,500000,Unsanctioned
MPLADS-046689,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,100000,Unsanctioned
MPLADS-046690,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,30000,Unsanctioned
MPLADS-046691,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Provision of escalator and travellators for public use,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,2830800,Unsanctioned
MPLADS-046692,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kalpeni,Kalpeni (Ct),Normal/Others,NA - Lighting of public spaces,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,5192041,Unsanctioned
MPLADS-046693,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Minicoy,Minicoy (CT),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,177000,Unsanctioned
MPLADS-046694,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,360000,Unsanctioned
MPLADS-046695,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,300000,Unsanctioned
MPLADS-046696,Faizal PP Mohammed,Lok Sabha,Lakshadweep,LAKSHADWEEP(ST),,,Kavaratti,Kavaratti (Ct),Normal/Others,NA - Purchase of hospital equipment,COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,2023-09-08,Action Pending,132000,Unsanctioned
