WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000213,Guman Singh Damor,Lok Sabha,Madhya Pradesh,RATLAM(ST),Jobat,Jawaharlal Nehru Ward,,,Normal/Others,NA - Development of public parks,District Collector Alirajpur_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000550,Gajendra Singh Patel,Lok Sabha,Madhya Pradesh,KHARGONE(ST),Khargone,Shree Ram Mandir Ward,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR KHARGONE_IDA,2024-02-26,Action Pending,500000,Unsanctioned
MPLADS-000713,Faggan Singh Kulaste,Lok Sabha,Madhya Pradesh,MANDLA(ST),Dindori,Narmadaganj Ward,,,Normal/Others,NA - Construction of community centers and community halls,District Collector Dindori_IDA,2024-02-25,Action Pending,500000,Unsanctioned
MPLADS-000817,Faggan Singh Kulaste,Lok Sabha,Madhya Pradesh,MANDLA(ST),Keolari,Ward-12,,,Normal/Others,NA - Construction of community centers and community halls,District Collector Seoni_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000823,Faggan Singh Kulaste,Lok Sabha,Madhya Pradesh,MANDLA(ST),Keolari,Ward-12,,,Normal/Others,NA - Construction of community centers and community halls,District Collector Seoni_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000932,Mahendra Singh Solanky,Lok Sabha,Madhya Pradesh,DEWAS(SC),Shujalpur,Jayeshvar Ward,,,Normal/Others,NA - Construction of community centers and community halls,District Collector Shajapur_IDA,2024-02-25,Action Pending,500000,Unsanctioned
MPLADS-000935,Mahendra Singh Solanky,Lok Sabha,Madhya Pradesh,DEWAS(SC),Shujalpur,Ramachandra Chabe Ward,,,Normal/Others,NA - Development of playfields and sports grounds,District Collector Shajapur_IDA,2024-02-25,Action Pending,375000,Unsanctioned
MPLADS-000944,Mahendra Singh Solanky,Lok Sabha,Madhya Pradesh,DEWAS(SC),Shujalpur,Arvind Ward,,,Normal/Others,NA - Development of playfields and sports grounds,District Collector Shajapur_IDA,2024-02-25,Action Pending,300000,Unsanctioned
MPLADS-000993,Dhal Singh Bisen,Lok Sabha,Madhya Pradesh,BALAGHAT,Seoni,Kabir Ward,,,Trust and Society,NA - Construction of additional rooms and halls in the existing public and community building,District Collector Seoni_IDA,2024-02-24,Action Pending,500000,Unsanctioned
MPLADS-001004,Rajbahadur Singh,Lok Sabha,Madhya Pradesh,SAGAR,Kurwai,Sant Kabeer Ward,,,Normal/Others,NA - Construction of community centers and community halls,District Collector Vidisha_IDA,2024-02-23,Action Pending,300000,Unsanctioned
MPLADS-001005,Nakul K Nath,Lok Sabha,Madhya Pradesh,CHHINDWARA,Harrai,Ambedkar Ward,,,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-23,Action Pending,100000,Unsanctioned
MPLADS-001006,Nakul K Nath,Lok Sabha,Madhya Pradesh,CHHINDWARA,Harrai,Indira Gandhi Ward,,,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-23,Action Pending,100000,Unsanctioned
MPLADS-001007,Nakul K Nath,Lok Sabha,Madhya Pradesh,CHHINDWARA,Harrai,Shivaji Ward,,,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-23,Action Pending,100000,Unsanctioned
MPLADS-001169,Nakul K Nath,Lok Sabha,Madhya Pradesh,CHHINDWARA,Chhindwara,Lal Bahadur Shastri Ward,,,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-21,Action Pending,100000,Unsanctioned
MPLADS-001180,Shri Vivek K Tankha,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Dindori,Deora Mal.,Normal/Others,NA - Construction of common work sheds/ common covered sitting area,District Collector Dindori_IDA,2024-02-20,Action Pending,300000,Unsanctioned
MPLADS-001337,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Panagar,Badkhera,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR JABALPUR_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001346,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Berasia,Runaha,Normal/Others,NA - Construction of culverts and bridges,DISTRICT COLLECTOR BHOPAL_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001347,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Berasia,Garha Brahman,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR BHOPAL_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001348,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,Jabalpur,Ambedkar Ward-Ward No. 62,,,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR JABALPUR_IDA,2024-02-18,Action Pending,236000,Unsanctioned
MPLADS-001349,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,Jabalpur,Gwarighat Ghat- Ward No.08,,,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR JABALPUR_IDA,2024-02-18,Action Pending,100000,Unsanctioned
MPLADS-001350,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Berasia,Maholi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR BHOPAL_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001563,Smt Sumitra Balmik,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Panagar,Badkhera,Normal/Others,NA - Construction of culverts and bridges,DISTRICT COLLECTOR JABALPUR_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001636,Nakul K Nath,Lok Sabha,Madhya Pradesh,CHHINDWARA,Chhindwara,Dr.Radhakrishnan Ward,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-16,Action Pending,200000,Unsanctioned
MPLADS-001673,SH L Murugan,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Chhindwara,Kheri Laddu,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-16,Action Pending,50000,Unsanctioned
MPLADS-001675,SH L Murugan,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Chhindwara,Bohna,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-16,Action Pending,100000,Unsanctioned
MPLADS-001676,SH L Murugan,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Chhindwara,Raja Khoh,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-16,Action Pending,400000,Unsanctioned
MPLADS-001677,SH L Murugan,Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,,,Chaurai,Palhari,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR CHHINDWARA_IDA,2024-02-16,Action Pending,200000,Unsanctioned
