WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000203,Sunil Dattatray Tatkare,Lok Sabha,Maharashtra,RAIGAD,,,Khed,Posare Kh.,Normal/Others,NA - Construction of community centers and community halls,District Collector Ratnagiri_IDA,2024-03-03,Action Pending,800000,Unsanctioned
MPLADS-000204,Sunil Dattatray Tatkare,Lok Sabha,Maharashtra,RAIGAD,,,Khed,Shiv Kh.,Normal/Others,NA - Construction of community centers and community halls,District Collector Ratnagiri_IDA,2024-03-03,Action Pending,700000,Unsanctioned
MPLADS-000208,Sunil Dattatray Tatkare,Lok Sabha,Maharashtra,RAIGAD,,,Dapoli,Kangavai,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",District Collector Ratnagiri_IDA,2024-03-03,Action Pending,1000000,Unsanctioned
MPLADS-000209,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),Dindori,Dindori (Mu Cl) - Ward No.04,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,1494000,Unsanctioned
MPLADS-000210,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),,,Nandgaon,Amode,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,997000,Unsanctioned
MPLADS-000211,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),,,Nandgaon,Wakhari,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,998000,Unsanctioned
MPLADS-000212,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),,,Yevla,Nagde,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,900000,Unsanctioned
MPLADS-000214,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),,,Yevla,Mamdapur,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000219,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),,,Yevla,Rajapur,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,1000000,Unsanctioned
MPLADS-000220,Bharti Pravin Pawar,Lok Sabha,Maharashtra,DINDORI(ST),,,Deola,Vithewadi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NASHIK_IDA,2024-03-03,Action Pending,994000,Unsanctioned
