WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-001008,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Kakching,Khelakhong,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Kakching_ida,2024-02-23,Action Pending,400000,Unsanctioned
MPLADS-001843,Ranjan Singh Rajkumar,Lok Sabha,Manipur,INNER MANIPUR,Imphal,Imc Ward 18,,,Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Imphal East_IDA,2024-02-12,Action Pending,4000000,Unsanctioned
MPLADS-001844,Ranjan Singh Rajkumar,Lok Sabha,Manipur,INNER MANIPUR,,,Porompat,Kongba Nongthombam (Thambalkhong Laishram Leikai),Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Imphal East_IDA,2024-02-12,Action Pending,3000000,Unsanctioned
MPLADS-001845,Ranjan Singh Rajkumar,Lok Sabha,Manipur,INNER MANIPUR,,,Patsoi,Patsoi Part I Part II Part III Part IV,Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Imphal West MPLADS_IDA,2024-02-12,Action Pending,4850000,Unsanctioned
MPLADS-001846,Ranjan Singh Rajkumar,Lok Sabha,Manipur,INNER MANIPUR,,,Sawombung,Pukhao Ahallup,Normal/Others,NA - Construction of night shelters for homeless,Deputy Commissioner Imphal East_IDA,2024-02-12,Action Pending,1300000,Unsanctioned
MPLADS-003355,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Song Song,Rabunamei,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Senapati_IDA,2024-02-02,Action Pending,1400000,Unsanctioned
MPLADS-003362,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Tadubi,Khabung Karong,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Senapati_IDA,2024-02-02,Action Pending,1000000,Unsanctioned
MPLADS-003365,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Willong,Makulongdi,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Senapati_IDA,2024-02-02,Action Pending,4800000,Unsanctioned
MPLADS-003378,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Willong,Willong Khunou,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Senapati_IDA,2024-02-02,Action Pending,1400000,Unsanctioned
MPLADS-003462,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Ukhrul,Ukhrul (Ct),Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Ukhrul_ida,2024-01-29,Action Pending,750000,Unsanctioned
MPLADS-005325,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Tamenglong West,Taningjam,Normal/Others,NA - Construction of bus-sheds or bus-stops,Deputy Commissioner Tamenglong_ida,2024-01-23,Action Pending,500000,Unsanctioned
MPLADS-005331,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Chandel,Japhou Bazar Town,Normal/Others,NA - Development of playground,Deputy Commissioner Chandel_ida,2024-01-23,Action Pending,800000,Unsanctioned
MPLADS-005332,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Phungyar,Marou,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Kamjong MPLADS_ida,2024-01-23,Action Pending,450000,Unsanctioned
MPLADS-007132,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Khoupum,Khoupum,Normal/Others,"WS/MP367/2023-2024/87573 - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Noney_ida,2024-01-15,Approved by IDA,1000000,Unsanctioned
MPLADS-007137,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Champhai,Mayangkhang,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Kangpokpi MPLADS_ida,2024-01-15,Action Pending,1500000,Unsanctioned
MPLADS-007213,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Chingai,Khamasom,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Ukhrul_ida,2024-01-15,Action Pending,700000,Unsanctioned
MPLADS-007214,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,LM,Hoomi(Huime),Normal/Others,NA - Construction of buildings for community cultural activities,Deputy Commissioner Ukhrul_ida,2024-01-15,Action Pending,500000,Unsanctioned
MPLADS-007215,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,LM,Tolloi(Talui),Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,Deputy Commissioner Ukhrul_ida,2024-01-15,Action Pending,500000,Unsanctioned
MPLADS-007678,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Longmai,Dollang,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Noney_ida,2024-01-13,Action Pending,700000,Unsanctioned
MPLADS-007679,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Nungba,Rongdai,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Noney_ida,2024-01-13,Action Pending,700000,Unsanctioned
MPLADS-007753,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Nungba,Rongdai,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Noney_ida,2024-01-13,Action Pending,700000,Unsanctioned
MPLADS-007985,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Tadubi,Lairoching,Normal/Others,NA - Construction of toilet blocks,Deputy Commissioner Senapati_IDA,2024-01-12,Action Pending,500000,Unsanctioned
MPLADS-007986,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Machi,Tengkonbung,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Tengnoupal MPLADS_ida,2024-01-12,Action Pending,700000,Unsanctioned
MPLADS-008360,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Jessami,Chingjaroi Christian,Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Ukhrul_ida,2024-01-11,Action Pending,500000,Unsanctioned
MPLADS-008361,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Nungba,Rongdai,Normal/Others,"WS/MP367/2023-2024/80050 - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Noney_ida,2024-01-11,Approved by IDA,600000,Unsanctioned
MPLADS-008384,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Tengnoupal,Theimungkung,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Tengnoupal MPLADS_ida,2024-01-11,Action Pending,800000,Unsanctioned
MPLADS-008499,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Willong,Makulongdi,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Senapati_IDA,2024-01-10,Action Pending,4800000,Unsanctioned
MPLADS-008806,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Kamjong,Ramphoi,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Kamjong MPLADS_ida,2024-01-08,Action Pending,500000,Unsanctioned
MPLADS-009255,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Willong,Willong Khunou,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Senapati_IDA,2024-01-07,Action Pending,1400000,Unsanctioned
MPLADS-009495,Shri Lorho S Pfoze ,Lok Sabha,Manipur,OUTER MANIPUR(ST),,,Island,Kamu Saichang,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Kangpokpi MPLADS_ida,2024-01-06,Action Pending,1500000,Unsanctioned
