WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000558,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,Tura Municipal Board,Ward No. 10,,,Normal/Others,"WS/MP694/2023-2024/115471 - Purchase of ambulances (Four, three and two wheelers)",DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-26,Approved by IDA,1800000,Ongoing
MPLADS-000559,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Chondonpara,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-26,Action Pending,200000,Unsanctioned
MPLADS-001279,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Dalupara,Normal/Others,NA - Construction of rooms and halls in school and colleges,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001280,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Rerapara,Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001281,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Jaluagre,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001282,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Rerapara,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001283,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Sonamite,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001284,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Dengnakpara,Normal/Others,NA - Construction of public toilets and bathrooms,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001311,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Chondonpara,Normal/Others,NA - Construction of rainwater harvesting structures,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001374,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Godalgre,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001402,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Masalgre,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001403,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Rerapara,Normal/Others,NA - Development of playground,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,300000,Unsanctioned
MPLADS-001404,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Rerapara,Goramara,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001411,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Ampatigri,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001417,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Rongsang Songma,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,300000,Unsanctioned
MPLADS-001418,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Chiringpara,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001419,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Godalgre,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001420,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Rimrangpara,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001421,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Dilnigre,Normal/Others,NA - Development of playground,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001422,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Balamagre,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001423,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Balamagre,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001424,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Gambegre,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001425,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Gambegre,Normal/Others,NA - Development of playground,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001426,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Bolchugre,Normal/Others,NA - Development of playground,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001429,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Gambegre,Normal/Others,NA - Construction of rooms and halls in school and colleges,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,300000,Unsanctioned
MPLADS-001438,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Betasing Block Hq.,Normal/Others,NA - Construction of culverts and bridges,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001439,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Godalgre,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001440,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Betasing,Jolgaon,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001452,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Chenggapara,Normal/Others,NA - Construction of rainwater harvesting structures,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001453,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Gambegre,Darechikgre,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER WEST GARO HILLS_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001455,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Zikzak,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001456,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Boldamsonggitalgre,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001457,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Chibonggre,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001458,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Chapahati I,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001459,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Rongkaigre,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001460,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Chapahati I,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001461,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Dinangpara,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001462,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Merengipara,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001463,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Aningpara,Normal/Others,NA - Construction of bus-sheds or bus-stops,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001464,Kum Agatha K Sangma,Lok Sabha,Meghalaya,TURA,,,Zikzak,Aruagre,Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA,2024-02-18,Action Pending,200000,Unsanctioned
