WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-020195,Smt S Phangnon Konyak,Rajya Sabha,Nagaland,Sitting Rajya Sabha,Mon Town Council,ward-8,,,Normal/Others,"WS/MP233/2023-2024/56800 - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Mon_IDA,2023-12-05,Approved by IDA,1500000,Sanctioned
MPLADS-020198,Smt S Phangnon Konyak,Rajya Sabha,Nagaland,Sitting Rajya Sabha,Mon Town Council,ward-6,,,Normal/Others,WS/MP233/2023-2024/56811 - Construction of rooms and halls in school and colleges,Deputy Commissioner Mon_IDA,2023-12-05,Approved by IDA,5000000,Sanctioned
MPLADS-020199,Smt S Phangnon Konyak,Rajya Sabha,Nagaland,Sitting Rajya Sabha,Mon Town Council,ward-8,,,Normal/Others,WS/MP233/2023-2024/56813 - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Mon_IDA,2023-12-05,Approved by IDA,1000000,Sanctioned
MPLADS-020200,Smt S Phangnon Konyak,Lok Sabha,Nagaland,,,,LONGLENG,Tangha,Normal/Others,NA - Providing drains and gutters for public drainage,Deputy Commissioner Longleng_IDA,2023-12-05,Action Pending,1000000,Unsanctioned
MPLADS-020201,Smt S Phangnon Konyak,Rajya Sabha,Nagaland,Sitting Rajya Sabha,Mon Town Council,ward-9,,,Normal/Others,WS/MP233/2023-2024/56818 - Construction of public toilets and bathrooms,Deputy Commissioner Mon_IDA,2023-12-05,Approved by IDA,1000000,Sanctioned
MPLADS-020202,Smt S Phangnon Konyak,Rajya Sabha,Nagaland,Sitting Rajya Sabha,Mon Town Council,ward-9,,,Normal/Others,"WS/MP233/2023-2024/56829 - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Mon_IDA,2023-12-05,Approved by IDA,1000000,Sanctioned
MPLADS-020203,Smt S Phangnon Konyak,Rajya Sabha,Nagaland,Sitting Rajya Sabha,,,WAKCHING,Lamphang Tiru,Normal/Others,WS/MP233/2023-2024/56830 - Construction of public irrigation facilities,Deputy Commissioner Mon_IDA,2023-12-05,Approved by IDA,4000000,Sanctioned
MPLADS-020204,Smt S Phangnon Konyak,Lok Sabha,Nagaland,,,,JALUKIE,Jalukie B,Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Peren_IDA,2023-12-05,Action Pending,1000000,Unsanctioned
MPLADS-020220,Smt S Phangnon Konyak,Lok Sabha,Nagaland,,,,SITIMI,Sitimi Vill.,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Kiphire_IDA,2023-12-05,Action Pending,2500000,Unsanctioned
MPLADS-020221,Smt S Phangnon Konyak,Lok Sabha,Nagaland,,,,CHESSORE,Chessore Vill.,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,Deputy Commissioner Shamator_IDA,2023-12-05,Action Pending,21000000,Unsanctioned
