WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000036,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Cuttack Sadar,Kalapada,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000045,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Kishannagar,Bankol,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,200000,Unsanctioned
MPLADS-000046,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Kishannagar,Hulipur,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,250000,Unsanctioned
MPLADS-000047,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Kandarpur,Nimeisapur,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,300000,Unsanctioned
MPLADS-000048,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Kishannagar,Bankol,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,120000,Unsanctioned
MPLADS-000049,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Kishannagar,Radhanagar,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,100000,Unsanctioned
MPLADS-000050,Shri Bhartruhari Mahtab ,Lok Sabha,Odisha,CUTTACK,,,Badamba,Maniabandha,Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR CUTTACK_IDA,2024-03-03,Action Pending,300000,Unsanctioned
MPLADS-000051,Shri Mahesh Sahoo ,Lok Sabha,Odisha,DHENKANAL,,,Palalahada,Chasagurujanga,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTORANGUL_IDA,2024-03-03,Action Pending,300000,Unsanctioned
MPLADS-000052,Shri Mahesh Sahoo ,Lok Sabha,Odisha,DHENKANAL,,,Palalahada,Chasagurujanga,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTORANGUL_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000053,Shri Mahesh Sahoo ,Lok Sabha,Odisha,DHENKANAL,,,Khamar,Khamar,Normal/Others,NA - Construction of New Building,DISTRICT COLLECTORANGUL_IDA,2024-03-03,Action Pending,500000,Unsanctioned
