WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-002807,Vaithilingam Ve,Lok Sabha,Puducherry,Puducherry,Pondicherry,velrampet,,,Normal/Others,WS/MP710/2023-2024/98186 - Construction of rooms and halls in school and colleges,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2024-02-06,Approved by IDA,1500000,Sanctioned
MPLADS-008814,SHRI S Selvaganabathy,Rajya Sabha,Puducherry,Sitting Rajya Sabha,Ozhukarai,Puducherry,,,Normal/Others,NA - Construction of buildings for community cultural activities,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2024-01-08,Action Pending,4000000,Unsanctioned
MPLADS-011525,Vaithilingam Ve,Lok Sabha,Puducherry,Puducherry,,,Puducherry Taluk,Thimmanaickenpalayam,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-29,Action Pending,3000000,Unsanctioned
MPLADS-015700,Vaithilingam Ve,Lok Sabha,Puducherry,Puducherry,Pondicherry,Manavely,,,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-18,Action Pending,3500000,Unsanctioned
MPLADS-015937,SHRI S Selvaganabathy,Rajya Sabha,Puducherry,Sitting Rajya Sabha,Ozhukarai,Puducherry,,,Normal/Others,"WS/MP139/2023-2024/64276 - Construction of roads, approach roads, link roads and pathways",PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-17,Approved by IDA,5000000,
MPLADS-015938,SHRI S Selvaganabathy,Rajya Sabha,Puducherry,Sitting Rajya Sabha,Pondicherry,Puducherry,,,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-17,Action Pending,600000,Unsanctioned
MPLADS-016813,Vaithilingam Ve,Lok Sabha,Puducherry,Puducherry,,,ARIANKUPPAM,Ariyankuppam,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-15,Action Pending,3500000,Unsanctioned
MPLADS-016869,Vaithilingam Ve,Lok Sabha,Puducherry,Puducherry,,,ARIANKUPPAM,Karikkalampakkam,Normal/Others,NA - Construction of public irrigation facilities,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-14,Action Pending,350000,Unsanctioned
MPLADS-018762,SHRI S Selvaganabathy,Rajya Sabha,Puducherry,Sitting Rajya Sabha,Ozhukarai,Puducherry,,,Normal/Others,NA - Construction of night shelters for homeless,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-08,Action Pending,2750000,Unsanctioned
MPLADS-018821,SHRI S Selvaganabathy,Rajya Sabha,Puducherry,Sitting Rajya Sabha,Ozhukarai,Puducherry,,,Normal/Others,WS/MP139/2023-2024/58553 - Construction of toilet blocks,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,2023-12-08,Approved by IDA,2000000,Sanctioned
