WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000355,Sushil Kumar Rinku ,Lok Sabha,Punjab,JALANDHAR(SC),,,Adampur,Dhadda (6),Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DEPUTY COMMISSIONER JALANDHAR_IDA,2024-03-01,Action Pending,200000,Unsanctioned
MPLADS-000621,Shri Sant Balbir Singh,Rajya Sabha,Punjab,Sitting Rajya Sabha,,,Moonak,Dudian (94),Normal/Others,NA - Construction of community centers and community halls,DEPUTY COMMISSIONER SANGRUR_IDA,2024-02-25,Action Pending,500000,Unsanctioned
MPLADS-001013,Manish Tewari,Lok Sabha,Punjab,ANANDPUR SAHIB,,,Balachaur,Malewal (375),Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Shahid Bhagat Singh Nagar_ida,2024-02-23,Action Pending,300000,Unsanctioned
MPLADS-001014,Manish Tewari,Lok Sabha,Punjab,ANANDPUR SAHIB,,,Anandpur Sahib,Bikapur (297),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DEPUTY COMMISSIONER ROOPNAGAR_IDA,2024-02-23,Action Pending,250000,Unsanctioned
MPLADS-001175,Shri Jasbir Singh ,Lok Sabha,Punjab,KHADOOR SAHIB,,,Amritsar -I,Gunowal (134),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER AMRITSAR_IDA,2024-02-21,Action Pending,2187000,Unsanctioned
MPLADS-001235,Shri Som Prakash ,Lok Sabha,Punjab,HOSHIARPUR(SC),,,Phagwara,Atholi (94),Normal/Others,NA - Street lights,DEPUTY COMMISSIONER KAPURTHALA_IDA,2024-02-19,Action Pending,252420,Unsanctioned
MPLADS-001275,Shri Jasbir Singh ,Lok Sabha,Punjab,KHADOOR SAHIB,,,Khadur Sahib,Nagoke (132),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Tarn Taran_IDA,2024-02-18,Action Pending,250000,Unsanctioned
MPLADS-001276,Shri Jasbir Singh ,Lok Sabha,Punjab,KHADOOR SAHIB,,,Tarn Taran,Rasulpur (98),Normal/Others,NA - Construction of community centers and community halls,Deputy Commissioner Tarn Taran_IDA,2024-02-18,Action Pending,250000,Unsanctioned
MPLADS-001277,Shri Jasbir Singh ,Lok Sabha,Punjab,KHADOOR SAHIB,,,Tarn Taran,None (83),Normal/Others,NA - Development of playfields and sports grounds,Deputy Commissioner Tarn Taran_IDA,2024-02-18,Action Pending,250000,Unsanctioned
MPLADS-001278,Shri Jasbir Singh ,Lok Sabha,Punjab,KHADOOR SAHIB,,,Khadur Sahib,Bhut Wind (140),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Tarn Taran_IDA,2024-02-18,Action Pending,400000,Unsanctioned
MPLADS-001514,Shri Jasbir Singh ,Lok Sabha,Punjab,KHADOOR SAHIB,,,Tarn Taran,Chaudhriwala (270),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Tarn Taran_IDA,2024-02-18,Action Pending,250000,Unsanctioned
