WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000001,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Rajakhera,Nadauli,Normal/Others,NA - Installing community drinking water plants,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,100000,Unsanctioned
MPLADS-000003,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Sepau,Kaithri,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,500000,Unsanctioned
MPLADS-000023,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Sepau,Kookara,Normal/Others,NA - Installing community drinking water plants,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,600000,Unsanctioned
MPLADS-000025,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Sepau,Sepau 2,Normal/Others,NA - Installing community drinking water plants,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,100000,Unsanctioned
MPLADS-000026,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Bari,Norha,Normal/Others,NA - Installing community drinking water plants,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,600000,Unsanctioned
MPLADS-000027,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Rajakhera,Rahsena,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,1000000,Unsanctioned
MPLADS-000029,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),Dhaulpur,Dhaulpur (M) - Ward No.10,,,Normal/Others,NA - Installing community drinking water plants,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,150000,Unsanctioned
MPLADS-000034,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Mania,Marha Bhau,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,600000,Unsanctioned
MPLADS-000035,Manoj Rajoria,Lok Sabha,Rajasthan,KARAULI-DHOLPUR(SC),,,Sepau,Sakhwara,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR DHOLPUR_IDA,2024-03-04,Action Pending,700000,Unsanctioned
MPLADS-000058,Rahul Kaswan,Lok Sabha,Rajasthan,CHURU,,,Bhanipura,Sawar,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR CHURU_IDA,2024-03-03,Action Pending,850000,Unsanctioned
MPLADS-000059,Rahul Kaswan,Lok Sabha,Rajasthan,CHURU,,,Bhanipura,Rajasar Panwaran,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR CHURU_IDA,2024-03-03,Action Pending,650000,Unsanctioned
MPLADS-000073,Rahul Kaswan,Lok Sabha,Rajasthan,CHURU,,,Churu,Gajsar,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR CHURU_IDA,2024-03-03,Action Pending,185000,Unsanctioned
