WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000167,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Keeranur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000168,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Paramakudi,Kulathur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000169,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Paramakudi,Nagaram,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000170,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Kamuthi,Sengappadai,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000171,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Ulaiyur,Normal/Others,NA - Construction of bus-sheds or bus-stops,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000172,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Pirabakkalur,Normal/Others,NA - Construction of New Building,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,1000000,Unsanctioned
MPLADS-000173,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Melakodumalur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000174,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Keeranur,Normal/Others,NA - Construction of New Building,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,700000,Unsanctioned
MPLADS-000175,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,Kamuthi,Kamuthi (TP) - Ward No.1,,,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000176,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Keeranur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000177,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Mudukulathur,Karumal,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000178,P Raveendranath Kumar,Lok Sabha,Tamil Nadu,THENI,Usilampatti,Usilampatti (M) - Ward No.19,,,Normal/Others,"NA - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",DISTRICT COLLECTOR MADURAI_IDA,2024-03-03,Action Pending,83500,Unsanctioned
MPLADS-000179,P Raveendranath Kumar,Lok Sabha,Tamil Nadu,THENI,,,Madurai North,Thenur Bit 1,Normal/Others,"NA - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",DISTRICT COLLECTOR MADURAI_IDA,2024-03-03,Action Pending,83500,Unsanctioned
MPLADS-000181,P Raveendranath Kumar,Lok Sabha,Tamil Nadu,THENI,Bodinayakanur,Bodinayakanur (M) - Ward No.21,,,Normal/Others,NA - Street lights,DISTRICT COLLECTOR THENI_IDA,2024-03-03,Action Pending,650000,Unsanctioned
MPLADS-000182,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Paramakudi,S.Andakkudi,Normal/Others,NA - Construction of bus-sheds or bus-stops,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,800000,Unsanctioned
MPLADS-000183,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Paramakudi,Melaparthibanur (Ct),Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000184,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Paramakudi,Pambur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000185,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Ramanathapuram,Pandamangalam,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000186,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Ramanathapuram,Sakkarakottai (Ct),Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000187,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Ramanathapuram,Kusavankudi,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000188,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Rajasingamangalam,Ariyankottai,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000189,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Rajasingamangalam,Sholandur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000190,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Rajasingamangalam,Tiruppalaikkudi,Normal/Others,NA - Construction of bus-sheds or bus-stops,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,700000,Unsanctioned
MPLADS-000191,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Rajasingamangalam,Thumbadakkakottai,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000192,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Kilakarai,Kalimankundu,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000193,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Kilakarai,Kulapatham,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000194,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Kilakarai,Mallal,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000195,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Kilakarai,Vannankundu,Normal/Others,NA - Construction of New Building,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,1500000,Unsanctioned
MPLADS-000196,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Tiruvadanai,Nambuthalai,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
MPLADS-000197,Kani K Navas,Lok Sabha,Tamil Nadu,RAMANATHAPURAM,,,Tiruvadanai,Pattamangalam,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,2024-03-03,Action Pending,430000,Unsanctioned
