WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000040,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Basheerabad,Neelapalle,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR VIKARABAD_IDA,2024-03-03,Action Pending,170000,Unsanctioned
MPLADS-000041,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Basheerabad,Navalga,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR VIKARABAD_IDA,2024-03-03,Action Pending,170000,Unsanctioned
MPLADS-000042,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Basheerabad,Navandgi (Ct),Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR VIKARABAD_IDA,2024-03-03,Action Pending,510000,Unsanctioned
MPLADS-000043,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Basheerabad,Jalalpur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR VIKARABAD_IDA,2024-03-03,Action Pending,510000,Unsanctioned
MPLADS-000076,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Yelal,Bennur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR VIKARABAD_IDA,2024-03-03,Action Pending,170000,Unsanctioned
MPLADS-000084,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Chevella,Mudimyal,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR RANGAREDDY_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000164,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Basheerabad,Bahadurpur,Normal/Others,NA - Lighting of public spaces,DISTRICT COLLECTOR VIKARABAD_IDA,2024-03-03,Action Pending,170000,Unsanctioned
MPLADS-000166,Gaddam Ranjith Reddy,Lok Sabha,Telangana,CHELVELLA,,,Chevella,Chevella,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR RANGAREDDY_IDA,2024-03-03,Action Pending,800000,Unsanctioned
MPLADS-000180,SHRI K R Suresh Reddy,Rajya Sabha,Telangana,Sitting Rajya Sabha,,,Chennaraopet,Chennaraopet,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",District Collector Warangal_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000218,SHRI K R Suresh Reddy,Rajya Sabha,Telangana,Sitting Rajya Sabha,,,Chennaraopet,Chennaraopet,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",District Collector Warangal_IDA,2024-03-03,Action Pending,500000,Unsanctioned
