WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-005641,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Jampuijala,Paschim Takarjala,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005642,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Kamalnagar,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005643,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Kanthalia,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005644,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Matinagar,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005645,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Nidaya,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005646,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Sonamura,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005647,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Jampuijala,Jampuijala,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005648,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Jampuijala,Dayaram Para,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005649,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Boxanagar,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
MPLADS-005650,Ms Pratima Bhoumik,Lok Sabha,Tripura,TRIPURA WEST,,,Sonamura,Uttar Taibandal,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA,2024-01-21,Action Pending,391000,Unsanctioned
