WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000693,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Dunda,Panjyala,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000695,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,Naugaon,Naugaon (NP)- Naugaon Gaon Ward No.5,,,Normal/Others,NA - Construction of flood control embankments,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,70000,Unsanctioned
MPLADS-000696,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,Naugaon,Naugaon (NP)- Mulaana Ward No.7,,,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000697,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Pamari,Normal/Others,NA - Construction of common work sheds/ common covered sitting area,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,50000,Unsanctioned
MPLADS-000698,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Khirmu,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,50000,Unsanctioned
MPLADS-000699,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Mungra,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000700,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Billagaon,Normal/Others,NA - Construction of flood control embankments,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,200000,Unsanctioned
MPLADS-000701,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Bingsi,Repair and Renovation,NA - Construction of public irrigation facilities,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,70000,Unsanctioned
MPLADS-000702,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Phiphiyara,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000703,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Pujargaon,Normal/Others,NA - Construction of flood control embankments,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,100000,Unsanctioned
MPLADS-000704,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Sarnaul,Normal/Others,NA - Construction of flood control embankments,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000705,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Kandi,Normal/Others,NA - Construction of flood control embankments,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,80000,Unsanctioned
MPLADS-000706,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Bhatiya Pratham,Normal/Others,NA - Construction of flood control embankments,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000707,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Jugargaon,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000708,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Darogi,Normal/Others,NA - Construction of common work sheds/ common covered sitting area,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,100000,Unsanctioned
MPLADS-000709,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,Naugaon,Naugaon (NP)- Mulaana Ward No.7,,,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,50000,Unsanctioned
MPLADS-000710,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Koti Banal,Normal/Others,NA - Construction of common work sheds/ common covered sitting area,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000711,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,Naugaon,Naugaon (NP)- Mungra Ward No.2,,,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,80000,Unsanctioned
MPLADS-000712,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Rajgarhi,Bhatiya Pratham,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,80000,Unsanctioned
MPLADS-000714,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Barnigad,Bajlari,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,80000,Unsanctioned
MPLADS-000715,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Puraula,Bhankoli,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000716,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Puraula,Bhankoli,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,60000,Unsanctioned
MPLADS-000717,Mala Rajya Laxmi Shah,Lok Sabha,Uttarakhand,TEHRI GARHWAL,,,Puraula,Mairiyara,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR UTTARKASHI_IDA,2024-02-25,Action Pending,80000,Unsanctioned
