WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000202,Dr Ashok Bajpai,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Lucknow,Lucknow (M Corp.) - Ward No.1,,,Normal/Others,WS/MP179/2023-2024/119588 - Development of public parks,DISTRICT MAGISTRAE LUCKNOW_IDA,2024-03-03,Approved by IDA,289000,Unsanctioned
MPLADS-000217,Dr Ashok Bajpai,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Mehdawal,Khajuria,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT MAGISTRATE SANT KABIR NAGAR_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000303,Dr Ashok Bajpai,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Lucknow,Lucknow (M Corp.) - Ward No.16,,,Normal/Others,"WS/MP179/2023-2024/119127 - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT MAGISTRAE LUCKNOW_IDA,2024-03-02,Approved by IDA,1426000,Unsanctioned
MPLADS-000354,Smt Jaya Bachchan,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Gyanpur,Tulapur Rohi,Normal/Others,NA - Installing hand pumps,DISTRICT MAGISTRATE BHADOHI_IDA,2024-03-01,Action Pending,63275,Unsanctioned
MPLADS-000356,Smt Jaya Bachchan,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Gyanpur,Sagar Raipur,Normal/Others,NA - Installing hand pumps,DISTRICT MAGISTRATE BHADOHI_IDA,2024-03-01,Action Pending,63275,Unsanctioned
MPLADS-000357,Smt Jaya Bachchan,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Gyanpur,Sagar Raipur,Normal/Others,NA - Installing hand pumps,DISTRICT MAGISTRATE BHADOHI_IDA,2024-03-01,Action Pending,63275,Unsanctioned
MPLADS-000358,Smt Jaya Bachchan,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Gyanpur,Sagar Raipur,Normal/Others,NA - Installing hand pumps,DISTRICT MAGISTRATE BHADOHI_IDA,2024-03-01,Action Pending,63275,Unsanctioned
MPLADS-000359,SHRI Sudhanshu Trivedi,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Lucknow,Lucknow (M Corp.) - Ward No.36,,,Normal/Others,"WS/MP199/2023-2024/117757 - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT MAGISTRAE LUCKNOW_IDA,2024-03-01,Approved by IDA,1650000,Unsanctioned
MPLADS-000360,Smt Jaya Bachchan,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Aurai,Dhamahapur,Normal/Others,NA - Installing hand pumps,DISTRICT MAGISTRATE BHADOHI_IDA,2024-03-01,Action Pending,63275,Unsanctioned
MPLADS-000361,Smt Jaya Bachchan,Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,,,Gyanpur,Tulapur Rohi,Normal/Others,NA - Installing hand pumps,DISTRICT MAGISTRATE BHADOHI_IDA,2024-03-01,Action Pending,63275,Unsanctioned
