WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000044,Dr Sukanta Majumdar ,Lok Sabha,West Bengal,BALURGHAT,Balurghat,Baidyanathpara (OG) - Ward No.25,,,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,2024-03-03,Action Pending,35000,Unsanctioned
MPLADS-000062,Dr Sukanta Majumdar ,Lok Sabha,West Bengal,BALURGHAT,Balurghat,Baidyanathpara (OG) - Ward No.25,,,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,2024-03-03,Action Pending,35000,Unsanctioned
MPLADS-000063,Dr Sukanta Majumdar ,Lok Sabha,West Bengal,BALURGHAT,Balurghat,Baidyanathpara (OG) - Ward No.25,,,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,2024-03-03,Action Pending,35000,Unsanctioned
MPLADS-000064,Dr Sukanta Majumdar ,Lok Sabha,West Bengal,BALURGHAT,Balurghat,Baidyanathpara (OG) - Ward No.25,,,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,2024-03-03,Action Pending,35000,Unsanctioned
MPLADS-000065,Shri Dilip Ghosh ,Lok Sabha,West Bengal,MEDINIPUR,Medinipur,Medinipur (M) - Ward No.9,,,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA,2024-03-03,Action Pending,1800000,Unsanctioned
MPLADS-000066,Shri Dilip Ghosh ,Lok Sabha,West Bengal,MEDINIPUR,Kharagpur,Kharagpur (M) - Ward No.23,,,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA,2024-03-03,Action Pending,952002,Unsanctioned
MPLADS-000068,Adhir Ranjan Chowdhury ,Lok Sabha,West Bengal,BAHARAMPUR,Berhampore,Baharampur (M) - Ward No.22,,,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE MURSHIDABAD_IDA,2024-03-03,Action Pending,1085000,Unsanctioned
MPLADS-000078,Dr Sukanta Majumdar ,Lok Sabha,West Bengal,BALURGHAT,Balurghat,Baidyanathpara (OG) - Ward No.25,,,Normal/Others,NA - Street lights,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,2024-03-03,Action Pending,35000,Unsanctioned
MPLADS-001373,Shri Abu Hasem Khan Choudhury ,Lok Sabha,West Bengal,MALDAHA DAKSHIN,English Bazar,English Bazar (M) - Ward No.10,,,Normal/Others,"NA - Purchase of ambulances (Four, three and two wheelers)",DISTRICT MAGISTRATE MALDA_IDA,2024-02-18,Action Pending,2500000,Unsanctioned
MPLADS-001786,Adhir Ranjan Chowdhury ,Lok Sabha,West Bengal,BAHARAMPUR,Berhampore,Baharampur (M) - Ward No.25,,,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE MURSHIDABAD_IDA,2024-02-13,Action Pending,1085000,Unsanctioned
MPLADS-001830,Adhir Ranjan Chowdhury ,Lok Sabha,West Bengal,BAHARAMPUR,Berhampore,Baharampur (M) - Ward No.15,,,Normal/Others,NA - Installing community drinking water plants,DISTRICT MAGISTRATE MURSHIDABAD_IDA,2024-02-13,Action Pending,1085000,Unsanctioned
MPLADS-001836,Shatrughan Sinha,Lok Sabha,West Bengal,ASANSOL,Asansol,Asansol (M Corp.) - Ward No.31,,,Normal/Others,"NA - Purchase of IT systems, including hardware and software for educational purposes",DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA,2024-02-12,Action Pending,1000000,Unsanctioned
MPLADS-001837,Shatrughan Sinha,Lok Sabha,West Bengal,ASANSOL,Asansol,Asansol (M Corp.) - Ward No.88,,,Normal/Others,NA - Purchase of hospital equipment,DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA,2024-02-12,Action Pending,164000,Unsanctioned
MPLADS-001838,Shatrughan Sinha,Lok Sabha,West Bengal,ASANSOL,Asansol,Asansol (M Corp.) - Ward No.88,,,Normal/Others,NA - Purchase of sanitary pad vending machine and incinerators,DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA,2024-02-12,Action Pending,16000,Unsanctioned
MPLADS-001839,Shatrughan Sinha,Lok Sabha,West Bengal,ASANSOL,Asansol,Asansol (M Corp.) - Ward No.20,,,Normal/Others,NA - Lighting of public spaces,DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA,2024-02-12,Action Pending,400000,Unsanctioned
MPLADS-001840,Shatrughan Sinha,Lok Sabha,West Bengal,ASANSOL,Asansol,Asansol (M Corp.) - Ward No.76,,,Normal/Others,NA - Purchase of sanitary pad vending machine and incinerators,DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA,2024-02-12,Action Pending,16000,Unsanctioned
